index,label,lr_path,hr_path,split
1,QU04029757,E:\TT_exported\test\easy\lr\000000001.png,E:\TT_exported\test\easy\hr\000000001.png,test\easy
2,QU04029757,E:\TT_exported\test\easy\lr\000000002.png,E:\TT_exported\test\easy\hr\000000002.png,test\easy
3,(Camille,E:\TT_exported\test\easy\lr\000000003.png,E:\TT_exported\test\easy\hr\000000003.png,test\easy
4,Moses,E:\TT_exported\test\easy\lr\000000004.png,E:\TT_exported\test\easy\hr\000000004.png,test\easy
5,Impressionist,E:\TT_exported\test\easy\lr\000000005.png,E:\TT_exported\test\easy\hr\000000005.png,test\easy
6,18301903,E:\TT_exported\test\easy\lr\000000006.png,E:\TT_exported\test\easy\hr\000000006.png,test\easy
7,"Pissarro,",E:\TT_exported\test\easy\lr\000000007.png,E:\TT_exported\test\easy\hr\000000007.png,test\easy
8,Camille,E:\TT_exported\test\easy\lr\000000008.png,E:\TT_exported\test\easy\hr\000000008.png,test\easy
9,"18301903),",E:\TT_exported\test\easy\lr\000000009.png,E:\TT_exported\test\easy\hr\000000009.png,test\easy
10,2,E:\TT_exported\test\easy\lr\000000010.png,E:\TT_exported\test\easy\hr\000000010.png,test\easy
11,3,E:\TT_exported\test\easy\lr\000000011.png,E:\TT_exported\test\easy\hr\000000011.png,test\easy
12,65,E:\TT_exported\test\easy\lr\000000012.png,E:\TT_exported\test\easy\hr\000000012.png,test\easy
13,Mango,E:\TT_exported\test\easy\lr\000000013.png,E:\TT_exported\test\easy\hr\000000013.png,test\easy
14,Mango,E:\TT_exported\test\easy\lr\000000014.png,E:\TT_exported\test\easy\hr\000000014.png,test\easy
15,2,E:\TT_exported\test\easy\lr\000000015.png,E:\TT_exported\test\easy\hr\000000015.png,test\easy
16,2/,E:\TT_exported\test\easy\lr\000000016.png,E:\TT_exported\test\easy\hr\000000016.png,test\easy
17,(PCS),E:\TT_exported\test\easy\lr\000000017.png,E:\TT_exported\test\easy\hr\000000017.png,test\easy
18,2018.,E:\TT_exported\test\easy\lr\000000018.png,E:\TT_exported\test\easy\hr\000000018.png,test\easy
19,11.,E:\TT_exported\test\easy\lr\000000019.png,E:\TT_exported\test\easy\hr\000000019.png,test\easy
20,1,E:\TT_exported\test\easy\lr\000000020.png,E:\TT_exported\test\easy\hr\000000020.png,test\easy
21,2019.,E:\TT_exported\test\easy\lr\000000021.png,E:\TT_exported\test\easy\hr\000000021.png,test\easy
22,11.,E:\TT_exported\test\easy\lr\000000022.png,E:\TT_exported\test\easy\hr\000000022.png,test\easy
23,1,E:\TT_exported\test\easy\lr\000000023.png,E:\TT_exported\test\easy\hr\000000023.png,test\easy
24,2018.,E:\TT_exported\test\easy\lr\000000024.png,E:\TT_exported\test\easy\hr\000000024.png,test\easy
25,11.,E:\TT_exported\test\easy\lr\000000025.png,E:\TT_exported\test\easy\hr\000000025.png,test\easy
26,12,E:\TT_exported\test\easy\lr\000000026.png,E:\TT_exported\test\easy\hr\000000026.png,test\easy
27,2019.,E:\TT_exported\test\easy\lr\000000027.png,E:\TT_exported\test\easy\hr\000000027.png,test\easy
28,11.,E:\TT_exported\test\easy\lr\000000028.png,E:\TT_exported\test\easy\hr\000000028.png,test\easy
29,11,E:\TT_exported\test\easy\lr\000000029.png,E:\TT_exported\test\easy\hr\000000029.png,test\easy
30,SNACK,E:\TT_exported\test\easy\lr\000000030.png,E:\TT_exported\test\easy\hr\000000030.png,test\easy
31,FISH,E:\TT_exported\test\easy\lr\000000031.png,E:\TT_exported\test\easy\hr\000000031.png,test\easy
32,Ikan,E:\TT_exported\test\easy\lr\000000032.png,E:\TT_exported\test\easy\hr\000000032.png,test\easy
33,ONE,E:\TT_exported\test\easy\lr\000000033.png,E:\TT_exported\test\easy\hr\000000033.png,test\easy
34,ONE,E:\TT_exported\test\easy\lr\000000034.png,E:\TT_exported\test\easy\hr\000000034.png,test\easy
35,DAHFA,E:\TT_exported\test\easy\lr\000000035.png,E:\TT_exported\test\easy\hr\000000035.png,test\easy
36,Ora-,E:\TT_exported\test\easy\lr\000000036.png,E:\TT_exported\test\easy\hr\000000036.png,test\easy
37,dong,E:\TT_exported\test\easy\lr\000000037.png,E:\TT_exported\test\easy\hr\000000037.png,test\easy
38,Service,E:\TT_exported\test\easy\lr\000000038.png,E:\TT_exported\test\easy\hr\000000038.png,test\easy
39,Center,E:\TT_exported\test\easy\lr\000000039.png,E:\TT_exported\test\easy\hr\000000039.png,test\easy
40,SIEMENS,E:\TT_exported\test\easy\lr\000000040.png,E:\TT_exported\test\easy\hr\000000040.png,test\easy
41,SIEMENS,E:\TT_exported\test\easy\lr\000000041.png,E:\TT_exported\test\easy\hr\000000041.png,test\easy
42,SIEMENS,E:\TT_exported\test\easy\lr\000000042.png,E:\TT_exported\test\easy\hr\000000042.png,test\easy
43,SIEMENS,E:\TT_exported\test\easy\lr\000000043.png,E:\TT_exported\test\easy\hr\000000043.png,test\easy
44,SIEMENS,E:\TT_exported\test\easy\lr\000000044.png,E:\TT_exported\test\easy\hr\000000044.png,test\easy
45,SIEMENS,E:\TT_exported\test\easy\lr\000000045.png,E:\TT_exported\test\easy\hr\000000045.png,test\easy
46,SIEMENS,E:\TT_exported\test\easy\lr\000000046.png,E:\TT_exported\test\easy\hr\000000046.png,test\easy
47,SIEMENS,E:\TT_exported\test\easy\lr\000000047.png,E:\TT_exported\test\easy\hr\000000047.png,test\easy
48,SIEMENS,E:\TT_exported\test\easy\lr\000000048.png,E:\TT_exported\test\easy\hr\000000048.png,test\easy
49,SIEMENS,E:\TT_exported\test\easy\lr\000000049.png,E:\TT_exported\test\easy\hr\000000049.png,test\easy
50,SIEMENS,E:\TT_exported\test\easy\lr\000000050.png,E:\TT_exported\test\easy\hr\000000050.png,test\easy
51,SIEMENS,E:\TT_exported\test\easy\lr\000000051.png,E:\TT_exported\test\easy\hr\000000051.png,test\easy
52,SIEMENS,E:\TT_exported\test\easy\lr\000000052.png,E:\TT_exported\test\easy\hr\000000052.png,test\easy
53,SIEMENS,E:\TT_exported\test\easy\lr\000000053.png,E:\TT_exported\test\easy\hr\000000053.png,test\easy
54,SIEMENS,E:\TT_exported\test\easy\lr\000000054.png,E:\TT_exported\test\easy\hr\000000054.png,test\easy
55,SIEMENS,E:\TT_exported\test\easy\lr\000000055.png,E:\TT_exported\test\easy\hr\000000055.png,test\easy
56,SIEMENS,E:\TT_exported\test\easy\lr\000000056.png,E:\TT_exported\test\easy\hr\000000056.png,test\easy
57,SIEMENS,E:\TT_exported\test\easy\lr\000000057.png,E:\TT_exported\test\easy\hr\000000057.png,test\easy
58,SIEMENS,E:\TT_exported\test\easy\lr\000000058.png,E:\TT_exported\test\easy\hr\000000058.png,test\easy
59,SIEMENS,E:\TT_exported\test\easy\lr\000000059.png,E:\TT_exported\test\easy\hr\000000059.png,test\easy
60,SIEMENS,E:\TT_exported\test\easy\lr\000000060.png,E:\TT_exported\test\easy\hr\000000060.png,test\easy
61,SIEMENS,E:\TT_exported\test\easy\lr\000000061.png,E:\TT_exported\test\easy\hr\000000061.png,test\easy
62,SIEMENS,E:\TT_exported\test\easy\lr\000000062.png,E:\TT_exported\test\easy\hr\000000062.png,test\easy
63,SIEMENS,E:\TT_exported\test\easy\lr\000000063.png,E:\TT_exported\test\easy\hr\000000063.png,test\easy
64,SIEMENS,E:\TT_exported\test\easy\lr\000000064.png,E:\TT_exported\test\easy\hr\000000064.png,test\easy
65,SIEMENS,E:\TT_exported\test\easy\lr\000000065.png,E:\TT_exported\test\easy\hr\000000065.png,test\easy
66,SIEMENS,E:\TT_exported\test\easy\lr\000000066.png,E:\TT_exported\test\easy\hr\000000066.png,test\easy
67,SIEMENS,E:\TT_exported\test\easy\lr\000000067.png,E:\TT_exported\test\easy\hr\000000067.png,test\easy
68,SIEMENS,E:\TT_exported\test\easy\lr\000000068.png,E:\TT_exported\test\easy\hr\000000068.png,test\easy
69,SIEMENS,E:\TT_exported\test\easy\lr\000000069.png,E:\TT_exported\test\easy\hr\000000069.png,test\easy
70,SIEMENS,E:\TT_exported\test\easy\lr\000000070.png,E:\TT_exported\test\easy\hr\000000070.png,test\easy
71,Diagnostic,E:\TT_exported\test\easy\lr\000000071.png,E:\TT_exported\test\easy\hr\000000071.png,test\easy
72,Building,E:\TT_exported\test\easy\lr\000000072.png,E:\TT_exported\test\easy\hr\000000072.png,test\easy
73,Diagnostic,E:\TT_exported\test\easy\lr\000000073.png,E:\TT_exported\test\easy\hr\000000073.png,test\easy
74,Building,E:\TT_exported\test\easy\lr\000000074.png,E:\TT_exported\test\easy\hr\000000074.png,test\easy
75,Diagnostic,E:\TT_exported\test\easy\lr\000000075.png,E:\TT_exported\test\easy\hr\000000075.png,test\easy
76,Building,E:\TT_exported\test\easy\lr\000000076.png,E:\TT_exported\test\easy\hr\000000076.png,test\easy
77,Diagnostic,E:\TT_exported\test\easy\lr\000000077.png,E:\TT_exported\test\easy\hr\000000077.png,test\easy
78,Building,E:\TT_exported\test\easy\lr\000000078.png,E:\TT_exported\test\easy\hr\000000078.png,test\easy
79,Diagnostic,E:\TT_exported\test\easy\lr\000000079.png,E:\TT_exported\test\easy\hr\000000079.png,test\easy
80,Building,E:\TT_exported\test\easy\lr\000000080.png,E:\TT_exported\test\easy\hr\000000080.png,test\easy
81,Jonathan,E:\TT_exported\test\easy\lr\000000081.png,E:\TT_exported\test\easy\hr\000000081.png,test\easy
82,Group,E:\TT_exported\test\easy\lr\000000082.png,E:\TT_exported\test\easy\hr\000000082.png,test\easy
83,Galore,E:\TT_exported\test\easy\lr\000000083.png,E:\TT_exported\test\easy\hr\000000083.png,test\easy
84,Galore,E:\TT_exported\test\easy\lr\000000084.png,E:\TT_exported\test\easy\hr\000000084.png,test\easy
85,Group,E:\TT_exported\test\easy\lr\000000085.png,E:\TT_exported\test\easy\hr\000000085.png,test\easy
86,Group,E:\TT_exported\test\easy\lr\000000086.png,E:\TT_exported\test\easy\hr\000000086.png,test\easy
87,Group,E:\TT_exported\test\easy\lr\000000087.png,E:\TT_exported\test\easy\hr\000000087.png,test\easy
88,Galore,E:\TT_exported\test\easy\lr\000000088.png,E:\TT_exported\test\easy\hr\000000088.png,test\easy
